Nama,Rating,Ulasan,Kategori,Kabupaten,Klaster
Kedung Pengilon,4.1,610,Tourist Attraction,Bantul,0
Sendang Ngembel,3.9,350,Tourist Attraction,Bantul,0
Watu Goyang,4.4,1649,Tourist Attraction,Bantul,0
Watu Ngelak,4.1,231,Tourist Attraction,Bantul,0
Tegaldowo Puspa Gading Park,4.4,2565,Tourist Attraction,Bantul,0
Gunung Mungker,4.3,497,Tourist Attraction,Bantul,0
Desa Wisata Kajii (Dewi Kajii - Edukasi Ikan Hias),4.9,91,Tourist Attraction,Bantul,0
Puncak Gebang,4.4,750,National Reserve,Bantul,0
Bukit Panguk Kediwung,4.5,3617,Tourist Attraction,Bantul,0
Seribu Batu Songgo Langit,4.6,6877,Tourist Attraction,Bantul,0
Desa Wisata Kebonagung Imogiri,4.6,132,Tourist Attraction,Bantul,0
Goa Cemara Beach,4.4,18597,Tourist Attraction,Bantul,0
Mojo Gumelem Hill,4.2,563,Tourist Attraction,Bantul,0
Dewi Gumi (Gunung Mijil) Petilasan Pangeran Diponegoro,4.6,268,Tourist Attraction,Bantul,0
Curug Banyunibo,4.2,330,Tourist Attraction,Bantul,0
Jurang Pulosari,4.0,169,Tourist Attraction,Bantul,0
Curug Pulosari,3.9,730,Tourist Attraction,Bantul,0
Becici Peak,4.6,17617,National Reserve,Bantul,0
Hutan Pinus Pengger,4.5,27090,Tourist Attraction,Bantul,0
Sendang Kasihan Spring,4.5,799,Tourist Attraction,Bantul,0
Tourism Village Mangir,4.7,73,Tourist Attraction,Bantul,0
Desa Wisata Bumi Mataram Pleret,4.9,23,Tourist Attraction,Bantul,0
Wisata Malam Paseban Bantul,4.7,3,Tourist Attraction,Bantul,0
Potorono Dinosaur Park - Potorono Edu Park (Potorono Tourism Village),4.6,1309,Tourist Attraction,Bantul,0
Alun-Alun Paseban Bantul,4.6,15097,Tourist Attraction,Bantul,0
Bungas Village,4.5,105,Tourist Attraction,Bantul,0
Gerbang Banyu Langit,4.4,1213,Tourist Attraction,Bantul,0
Goa Selarong,4.4,3232,Tourist Attraction,Bantul,0
Puncak Sosok,4.7,14789,National Reserve,Bantul,0
Gerabah Kasongan Tourist Village Yogyakarta,4.6,1159,Tourist Attraction,Bantul,0
Grand Puri Waterpark,4.4,4932,Tourist Attraction,Bantul,0
LOPEPARK,5.0,1,Tourist Attraction,Bantul,0
Kampung Dolikan,5.0,2,Tourist Attraction,Bantul,0
Jipangan Tourism Village,4.4,165,Tourist Attraction,Bantul,0
Kebun Buah Mangunan,4.7,5034,Tourist Attraction,Bantul,0
Penawangan Srunggo Cascade Falls,4.7,273,Tourist Attraction,Bantul,0
Taman Bank Indonesia Bantul Projo Tamansari,4.3,165,Memorial Park,Bantul,0
Kawasan Wisata Banjaran,4.7,113,Tourist Attraction,Bantul,0
Paseban Park,4.5,1450,Park,Bantul,0
Jurang Tembelan Kanigoro,4.5,4137,Tourist Attraction,Bantul,0
Mangunan Pines Forests,4.6,27012,Tourist Attraction,Bantul,0
Wisata Mangunan,4.6,41,Tourist Attraction,Bantul,0
Gunung Tambalan,4.3,123,Tourist Attraction,Bantul,0
Lembah Oya Kedungjati,4.6,591,Tourist Attraction,Bantul,0
EMBUNG JULANTORO PANGGUNGHARJO,4.4,424,Tourist Attraction,Bantul,0
Edum Park Tegaldowo,4.5,1218,Park,Bantul,0
Bulak Ngebuan View,4.4,54,Tourist Attraction,Bantul,0
Air Terjun LEPO Dlingo,4.2,1377,Tourist Attraction,Bantul,0
Waterbyur Taman Air,4.2,701,Tourist Attraction,Bantul,0
Balong Waterpark,4.2,3264,Tourist Attraction,Bantul,0
Bumi Perkemahan Banjaran,4.8,38,Tourist Attraction,Bantul,0
Embung Imogiri,4.5,757,Garden,Bantul,0
LUMBUNG MATARAMAN BANJARAN GUWOSARI,4.7,9,Tourist Attraction,Bantul,0
Parasamya Night Garden,4.3,63,Park,Bantul,0
Tembi Desa Budaya ?????????????,4.5,32,Tourist Attraction,Bantul,0
Setren Opak,4.4,789,Tourist Attraction,Bantul,0
Embung Potorono,4.5,5445,Tourist Attraction,Bantul,0
View Pemandangan Sawah Kweden,5.0,2,Tourist Attraction,Bantul,0
Ngantru Dam Kamijoro,4.2,682,Tourist Attraction,Bantul,0
Desa Wisata Kampung Santan,4.7,47,Tourist Attraction,Bantul,0
Hutan Pinus Asri,4.5,5057,National Reserve,Bantul,0
Gumuk Pasir Parangkusumo,4.5,9662,Tourist Attraction,Bantul,0
Laguna View Depok,4.6,1633,Tourist Attraction,Bantul,0
Taman Jati Larangan,4.4,157,Amusement Park,Bantul,0
Pantai baru,4.6,881,Tourist Attraction,Bantul,0
Bumper & Outbond Dewikasari Kalakijo-Kedung Guwosari,4.6,75,Tourist Attraction,Bantul,0
Gabusan Art Market,4.4,9165,Tourist Attraction,Bantul,0
Angkringan d'Lungguh ???????????'??????,4.9,21,Tourist Attraction,Bantul,0
Desa Wisata Gerabah Kasongan Bantul,3.7,3,Tourist Attraction,Bantul,0
